calibration_method,dataset,probability_decile,customer_count,mean_predicted_probability,actual_churn_rate,churn_count,calibration_gap
isotonic,validation,1,50,0.4941176470588235,0.5,25,-0.005882352941176505
isotonic,validation,2,50,0.15929850200949944,0.14,7,0.019298502009499424
isotonic,validation,3,50,0.11180124223602485,0.16,8,-0.048198757763975156
isotonic,validation,4,50,0.11180124223602485,0.04,2,0.07180124223602485
isotonic,validation,5,50,0.11180124223602485,0.16,8,-0.048198757763975156
isotonic,validation,6,50,0.06743012422360248,0.04,2,0.027430124223602477
isotonic,validation,7,50,0.0625,0.02,1,0.042499999999999996
isotonic,validation,8,50,0.05825,0.1,5,-0.04175
isotonic,validation,9,50,0.043,0.06,3,-0.017
isotonic,validation,10,50,0.0,0.0,0,0.0
isotonic,test,1,50,0.5121406700590172,0.46,23,0.05214067005901718
isotonic,test,2,50,0.16723904058196962,0.18,9,-0.012760959418030376
isotonic,test,3,50,0.11180124223602485,0.12,6,-0.008198757763975148
isotonic,test,4,50,0.11180124223602485,0.06,3,0.05180124223602485
isotonic,test,5,50,0.0881366459627329,0.08,4,0.008136645962732905
isotonic,test,6,50,0.0625,0.08,4,-0.0175
isotonic,test,7,50,0.0625,0.08,4,-0.0175
isotonic,test,8,50,0.05572972789277046,0.06,3,-0.004270272107229536
isotonic,test,9,50,0.04100000000000001,0.06,3,-0.01899999999999999
isotonic,test,10,50,0.0,0.02,1,-0.02
