feature,vif,r_squared_against_other_numeric_features,multicollinearity_risk
Camp_Count_TypeA,inf,1.0,high
Camp_Count_TypeB,inf,1.0,high
Camp_Count_TypeC,inf,1.0,high
Total_Campaigns_Received,inf,1.0,high
IPT_mean,18.3709643891744,0.9455662762816481,high
IPT_std,18.271893151512533,0.9452711335542578,high
active_weeks_ratio,8.552351172711719,0.8830730895159293,medium
Monetary,5.118029909388666,0.8046123180785696,medium
Days_Since_Last_Camp,4.058702796093647,0.7536158594902629,low
Inactive_Days_Ratio,3.2470681800911896,0.6920298729385115,low
Recency_Capped,3.176688835869745,0.6852068138659195,low
promo_usage_ratio,3.1076995202882287,0.6782185685998197,low
Frequency,3.0519535930568495,0.6723410204286902,low
coupon_dependency,2.667954050476602,0.6251809509907562,low
Avg_Items_Per_Basket,2.3671619419283108,0.5775531946980395,low
Campaigns_Last_30D,2.140333397855319,0.5327830696834281,low
Mailer_Responsiveness,1.8904153125763399,0.4710157110200527,low
Display_Responsiveness,1.7850381653988836,0.43978788835781524,low
IPT_CV,1.7833883297950341,0.43926962888955845,low
has_demographic_info,1.5926102675550857,0.37209999183594256,low
Private_Brand_Ratio,1.2987570678312392,0.23003306409729563,low
customer_lifetime,1.18645693291723,0.1571544046346246,low
Basket_Value_Std,1.1304793522332965,0.11541949171873911,low
Rolling_Freq_Slope,1.0553375230006607,0.05243585279079099,low
