predicted_value_decile,customer_count,actual_active_rate,mean_actual_discounted_value,mean_predicted_expected_discounted_value,mean_residual,mae,median_abs_error
1,250,0.988,890.3051832688855,1036.334097047106,-146.02891377822058,425.2504949690829,283.54849404504273
2,250,0.984,503.78297643763227,441.1694411636533,62.61353527397903,206.03172956291726,156.88769800787486
3,250,0.992,458.60492115149793,304.8719459921206,153.73297515937736,223.96060365683178,160.37979083470617
4,250,0.984,298.0804369130743,227.24029621358412,70.84014069949022,155.58674845369453,111.56060850548731
5,250,0.976,257.03762623561744,175.63976706791317,81.39785916770424,141.38038461632573,100.55484944172002
6,249,0.9558232931726908,184.90188707918585,134.90729194733046,49.994595131855384,108.75253461364531,80.37820073198188
7,250,0.904,145.34233496737463,101.26280509989832,44.07952986747633,96.53698883630284,68.46663036640714
8,250,0.868,111.57269875571436,70.9982237630773,40.57447499263705,81.76617375637596,58.1361634844956
9,250,0.74,54.97266870771576,43.934296110660625,11.038372597055133,52.032150659661134,35.4360847161001
10,250,0.548,36.73554449885528,18.844065039953254,17.891479458902033,36.25606577795246,17.024231247385103
